Enum	Text
MentorshipBreakCancelConfirm	Do you want to restore the mentoring relationship with {0}
MentorshipForceCompleteConfirm	Do you want to forcibly leave the apprenticeship with {0}? After leaving the apprenticeship, you can no longer complete the apprenticeship quest
MentorshipNormalCompleteConfirm	Do you want {0} to leave the apprenticeship? After leaving the apprenticeship, you cannot complete the apprenticeship task.
MentorMsgApplyBreak	Dissolution of the teacher-apprentice relationship
MentorMsgApplyInherit	request to pass
MentorMsgApplyStudent	request for apprenticeship
MentorMsgApplyMaster	ask for apprenticeship
ToConfirm	confirm
Confirmed	confirmed
InheritMentor	Chuan Gong
InheritFinishMentor	Passed on
CompletMentorTask	{0}<=Complete the mentoring task {1}
CompleteTaskToReport	Finish the task and report back
MentorshipBreaking	dismantling
ToBePupilConditon	1. The level is not less than 20, and the difference between master and apprentice combat power needs to reach 4,000,000{n}2. There is no record of apprenticeship, and there are currently less than 2 masters{n}3. Not in the punishment period for maliciously canceling the master-apprentice relationship{n}4. After a successful apprenticeship, it takes 14 days before apprenticeship again. The first two apprenticeship places are not limited.
ToBeMasterCondition	1. When the character reaches level {0} and the combat power is greater than 5,000,000, the difference in combat power between master and apprentice must reach 4,000,000{n}2. Not in the state of apprenticeship, and there are less than 2 apprentices at present{n}3. Not under the penalty of maliciously canceling the relationship between master and apprentice Period {n}4. After the apprenticeship is successful, it takes 14 days to receive apprentices again. The first two apprenticeships are not limited.
Break_Tell	Your {0}[ffde00]{1}[-] has proposed to terminate the master-disciple relationship, which will be officially terminated after {2}, so please keep it
Master	master
Mentorship	Master and apprentice
ToGetStudent	i want apprentices
ToGetTeacher	i want to apprentice
Pupil	apprentice
ToGetTeacherTip	Adventurer, do you need to find a master to overcome difficulties together?
ToGetStudentTip	Dear adventurer, are you willing to guide some low-level adventurers to slay dragons together?
TempNoNeed	Not needed yet
ERR_PARTNER_NUM_INVALID	Requires comrades to swear a team type and a group of 4 or more to become comrades
ERR_PARTNER_FDEGREE_NOT_ENOUGH	Friendship between comrades does not meet the conditions
TEAM_ERR_PARTNER_FDEGREE_NOT_ENOUGH	{0} has less than 100 friends with other people in the team
ERR_PARTNER_NOT_IN_MAIN_HALL	Everyone needs to be in the main city to become comrades
TEAM_ERR_PARTNER_NOT_IN_MAIN_HALL	You need {0} in the main city to become a comrade-in-arms
ERR_PARTNER_NOT_ENOUGH_DRAGON	Someone in the team cannot become a comrade-in-arms with less than 200 Dragon Coins
TEAM_ERR_PARTNER_NOT_ENOUGH_DRAGON	{0}If the dragon coins are less than 200, you cannot take the oath to become a comrade-in-arms
ERR_PARTNER_CD_NOT_OK	Someone in the team has removed the comrade-in-arms relationship today
TEAM_ERR_PARTNER_CD_NOT_OK	{0} removed the comrade-in-arms relationship today
ERR_PARTNER_CHEST_TAKED	The comrade-in-arms activity package has been received
ERR_PARTNER_NO_PARTNER	no comrades
ERR_PARTNER_LN_NOT_ENOUGH	Insufficient activity of comrades
TEAM_ERR_PARTNER_ALREADY_HAS	{0} already has a comrade-in-arms and cannot repeat the oath
ERR_PARTNER_ALREADY_APPLY_LEAVE	You have applied to cancel comrade-in-arms relationship
ERR_PARTNER_NOT_APPLY_LEAVE	You have not applied to terminate your comrade-in-arms relationship
ERR_PARTNER_ITEM_NOT_FOUND	Shop item not found
ERR_PARTNER_OTHER_BUYING	Other comrades in the store are buying
ERR_PARTNER_SHOP_NO_COUNT	Item has been sold out
HeroBattlePrevilege	Free heroes +{0}
HeroBattleInFight	In contention...
HeroBattleLoot	Occupied...
HeroBattleChangeHero	Replaced successfully with {0}
HeroBattleRewardTips	Complete {0} kills or {1} assists in a single game or get {2} wins on the day ({3}/{4})
HeroBattleBuySuccess	buy hero success
HeroBattleChangeHeroTips	Hero replacement countdown:
HeroBattleSelectHeroTips	Hero Pick Countdown:
HeroBattleWeekRewardTips	Win {0} games this week to claim
ERR_ENCHANT_LACKITEM	Lack of magic tools
ERR_ENCHANT_MINLEVEL	The enchanting stone level is higher than the maximum enchanting level of the item
ERR_ENCHANT_WRONGPOS	The enchanted stone does not match the equipment part
ERR_ENCHANT_NOTHAVE	This equipment has no enchantment properties and cannot be transferred
ERR_ENCHANT_ALREADYHAVE	This equipment has enchanted attributes and cannot be transferred
BreakPartner	And {0} officially terminated the comrade-in-arms relationship
TeamLeaveAndJoinConfirm	Are you sure you want to leave your team and join this team?
NotPartnerTeamLeader	Not the captain can't apply for the oath of comrade-in-arms
PartnerTeamNumNotEnough	Less than 4 people in the team
PartnerShopRefreshTip	Refresh every day at 5:00 a.m., the quantity of goods is shared by comrades in arms
PartnerLivenessName	The total activity of comrades
PartnerLivenessTip	Completing the single-player daily activity quest can increase the total activity of your comrades
ERR_HORSE_ACTIVITY	Temporarily unable to participate in dragon boat racing activities
HadGetedPartner	You are already a comrade-in-arms relationship and cannot repeat the oath
GetPartnerSuccess	Congratulations to comrades-in-arms for taking the oath
HadPartnerLeave	{0} has cancelled your comrade-in-arms relationship with you
PartnerEnd	The comrade-in-arms relationship has come to an end
HadLeavedPartner	Successfully terminated the comrade-in-arms relationship
MentorshipPupil	apprentice
MentorshipMaster	apprenticeship
MentorOverConditions	Apprenticeship conditions:
MentorOverConditionsTask	Completion of mentoring tasks is not less than: {0}
MentorOverConditionsDays	Number of days of apprenticeship {0}
MentorOverConditionsLevel	Apprentice minimum level {0}
MentorOverConditionsPPT	Apprentice's combat power is not lower than: {0}
MentorshipSettingOk	set successfully
SendMessageSuccess	message sent successfully
ERR_NO_MORE_EFFECTS	no more special effects
ERR_TB_NOTOPEN	The event has not started yet
TB_DECLEAR_COST	Are you sure you want to spend {0} to declare war on {1}? {n}At the end of the declaration of war, if you do not qualify for competition, the cost of {n} to replace the declared territory will be refunded only once.
TB_DECLEAR_COST_ENSURE	There is a war declaration guild with a higher ranking in the current territory. Are you sure you want to declare war? {n} Only the guild with the highest ranking and its allied guild can qualify for the battle
TB_DECLEAR_SUCCESS	You have successfully declared war on {0}
TB_DECLEAR_MESSAGE	Rank 1 to challenge the territory with belonging, and the top 2 can challenge the territory without ownership
ERR_TB_ALLIANCE_NO_PERMISSON	Only the president and vice president can request an alliance.
ERR_TB_DECLEAR_NO_PERMISSON	Only the president and vice president can declare war.
ERR_TB_ALLIANCE_NO_DECLEAR	Your guild has not declared war on this territory
ERR_TB_DECLEAR_NO_ALLIANCE	Territory is unoccupied, no alliance can be formed
ERR_TB_DECLEAR_LIMIT1	You can declare war on a town only after occupying the field!
ERR_TB_DECLEAR_LIMIT2	After occupying the town, you can declare war on the main city!
ERR_TB_DECLEAR_LIMIT3	You cannot declare war on territories of the same or lower level!
ERR_TB_DECLEAR_LIMIT4	You can't declare war on your own territory!
ERR_TB_DECLEAR_LIMIT5	The main city has been occupied, you can only defend and attack!
ERR_TB_DECLEAR_NOT_TIME	Now is not the time to declare war
ERR_TB_ENTRANCE_NO_PERMISSION	Your guild is not eligible to claim this territory
TB_ALLIANCE_SEND	Are you sure you want to apply to {0} to form an alliance to attack the {1} territory. The guild with the highest score after winning the competition can occupy the territory!
TB_ALLIANCE_ENSURE	Are you sure you want to form an alliance with {0} to attack the {1} territory, and the guild with the highest score after winning the competition can occupy the territory!
ERR_BATTLEFIELD_NOT_OPEN	The battlefield is about to open, please be patient
ERR_BATTLEFIELD_FULL	The battlefield is full
GetPartnerNeedMoney	The comrades swore that each person needs to consume {0} dragon coins
TERRITORY_ALLIANCE	Are you sure you want to spend {0} Dragon Coins to declare war on {1}?
TERRITORY_CDTIME	There are also {0} seconds to open the entrance to the territory
TERRITORY_TARGET	No target territory yet
TERRITORY_EMPTY	no attribution
TERRITORY_CURRENT	No occupied territories yet
NeedPartnerTeam	Please form a comrade-in-arms oath team first
NeedCanclePartner	Please cancel the comrade-in-arms relationship first
TERRITORY_RESULT	The guild territorial war is over today, and the occupation is as follows
TERRITORY_RESULT1	The guild territory war is over today, congratulations to {0} for occupying the Holy Paradise
TERRITORY_TYPE1	{0} defeated {1}
TERRITORY_TYPE2	{0} occupied {2} for guild {1}
TERRITORY_TYPE3	[88ab07]{1}[-]'s [aa7de4]{0}[-] stronghold has become {2} times the points!
TERRITORY_TYPE4	[7992fe]{1}[-]'s [aa7de4]{0}[-] stronghold has become {2} times the points!
TERRITORY_TYPE5	[f39354]{1}[-]'s [aa7de4]{0}[-] stronghold has become {2} times the points!
ERR_SELF_HAS_ALLIANCE	already have allies
ERR_OTHER_HAS_ALLIANCE	The president or vice president has already operated the application
OPTION_SHIELD_SIGHT	This camera is not available for this scene
KINGOFPOKER	The King of Poker Tournament starts from 15:00-16:00 every Saturday and Sunday, and you can participate by paying the registration fee during the event. {n}{n}The King of Poker tournaments will be randomly divided into groups, and prizes will be awarded according to the ranking in each round. After {n}{n} a round is over, you can register again during the opening time.
SureBreakUpPartner	Are you sure to cancel the comrade-in-arms relationship? You will not be able to join new comrades until the reset at 5:00 the next day
RefusePartner	{0} refused to take the oath
RefuseCreateTeamLeague	{0} refused to form a team
ERR_PARTNER_LEVEL_NOT_ENOUGH	Your comrade level is less than {0} and cannot be purchased
ERR_FRIEND_IS_PARTNER	Please cancel the comrade-in-arms relationship first
Cannot_recycl	Equipment with enhancement +{0} or more cannot be disassembled
PartnerNpcOk	comrade-in-arms oath
PartnerNpcCancel	Leave
BattleRoyaleRank	No. {0}/{1}
BattleRoyaleKill	{0}kill
BattleRoyaleKilledBy	Killed by {0}
BattleRoyaleWin	Good luck, only you survived
BattleRoyaleFail
ERR_FASHIONCOMPOSE_TIMELIMIT	Aging fashion cannot be crafted
ERR_FASHIONCOMPOSE_QUALITY	There are not enough costumes, you can quickly get them through shopping in the mall
ERR_FASHIONCOMPOSE_FAILED	Synthesis failed, a costume is damaged
ERR_FASHIONCOMPOSE_POS	It can only be synthesized by the costume in the same position
ERR_CARDMATCH_SIGNUP_LIMIT	The maximum number of registrations for this event has been reached
RACE_GAME_INFO	{0}{1}[-] used {2}[-]
WeekNestFight	Weekly Rewards:
ENTER_TIME_OUT	Enter the battle timeout
IsLeavingPartner	disarming comrades
GuildArena_hall_message	·The guild arena will start in the second week of the server launch, and two weeks are a competition period{n}{n} ·A single week from Monday to Tuesday at 19:00, the guild president and vice president can sign up{n}{n} ·Every Tuesday 、At 20:00 on Thursday night, the guild has signed up for the points match{n}{n}·The point game is three 6V6 brawls. The top 8 guilds will be shortlisted for the final battle at 20:00 on Saturday night. Go to {n}{n}·Peak duel. Each guild can fight with five members for 1V1 wheel battles{n}{n}·All participating guild members can get rich rewards
GuildArena_duel_message	The points competition is a 6V6 guild competitive event. During the competition period, every Tuesday and Thursday night at 20:00, {n}Two wins of three rounds will earn 10 points for each round. The team that has defeated the opponent more times in a single round will win.
ERR_QA_LEVEL_NOT_ENOUGH	Sorry, your level is not enough
ADD_OTHER_SERVER_FRIEND	Players from other servers cannot be added as friends at this time
ERR_HERO_LACKMONEY	Not enough hero coins
ERR_ENOUGH_ITEMCOST	Not enough {0}
ERR_CAN_NOT_DEL_IN_GUILD_TERRITOYR	The territorial battle is in progress, and members cannot be kicked out
WAIT_OTHER_PLAYER_PVE	Syncing {1} ... waiting for {0} players to load scene
WAIT_OTHER_PLAYER_PVP	Syncing {n} and {0} players have not yet loaded the scene
ERR_HERO_INVALID	Don't own the hero yet
ERR_HEROBATTLE_CANTGETPRIZE	Not meeting the requirements for receiving
ERR_HEROBATTLE_ALREADYGET	I already got it~
ERR_CANTCHOOSEHERO	Heroes cannot be selected at this time
TERRITORY_MAIN_DESCRIPTION	The declared war territory can be adjusted from 05:00-19:55 on the day of the event
ERR_GCASTLE_NOT_IN_ACT	It's not event time
ERR_GCASTLE_NOT_IN_FIGHT	The battlefield is about to open, please be patient
ERR_GCASTLE_ROLE_FULL	The battlefield is full, try another battlefield
ERR_GCASTLE_ROLE_LEVEL	Insufficient level
NoCanSmelt	no purifying properties
LeagueCrossSeverFight	Cross-Server Finals
LeagueEliminationResult	final hall
ERR_GARDEN_STEAL_LIMIT	You have reached the limit of stealing food today, take a rest
CantApplyPupil	Not eligible for apprenticeship
CantApplyMaster	Not eligible for apprenticeship
RankRange	{0} to {1}
AcceptReport	accept report
MentorPupilToReport	request report
Report	Report
Reported	reported
ToAccept	accept
ReportReplyed	Master {0} has accepted your report
ReportToTarget	Reported to master {0}, notify master to claim the reward
CollectWordsLeftTime	{0} days remaining
CollectWordsDescription	cool activity
PartnerDayLeftTime	{0} days remaining (reset next day)
LeagueTeamNormalRank	{0} to {1}
LeagueTeamRules	·{0}—{1}, players are required to reach level {2} to form a {3} team to register. {n}. Points competition in this server {4}—{5}, knockout competition in this server {6}·{n }·Cross-server points match {7}—{8}, cross-server knockout {9}·{n}·points match matching time: 21:00—21:40 every night ·{n}· knockout quarterfinals, semi-finals 、The finals will be held at 21:00, 21:20, 21:40 on the second night after the end of the points competition.
FORGE	forging
Forge	forging
OnlyEquipCanForge	Only equipment can be forged
ThisEquipCannotForge	This equipment cannot be forged
ForgeTips	Forging attributes can be regenerated by {0}% using forging stones
ForgeTips1	If you are not satisfied with the attribute values, you can refine and modify
NoForgeAttr	unforged
RedefineStoneNotEnough	Insufficient forging stone
ERR_AUDIO_CHAT	Please click the radio play button to join the voice room
DragonLoadMessage	Successfully dodge the monster's attack, you can get a powerful state of gain, hone your skills
Replay_IsBroadcasting	Now broadcasting, please close the live broadcast first
Replay_IsPlaying	The live broadcast is in progress, please go to the main interface to turn off the live broadcast
ERR_EQUIP_CANTFORGE	This item cannot be forged
ERR_EQUIP_FORGE_LACK_ITEM	Insufficient material
ERR_EQUIP_FORGE_LACK_STONE	Insufficient forging stone
ERR_EQUIP_FORGE_FAILED	forging failure
ShouldFinishMainTask	Prerequisites or copies to be completed
SUBSCRIBE_OK	Subscription succeeded
SUBSCRIBE_CANCEL	Unsubscribe successfully
TEAM_LEAGUE_RANK_UP	rank up
TEAM_LEAGUE_RANK_DOWN	Rank drop
ProfessionChangeDesc	1. After changing the occupation, the player's occupation level, current experience, mount, fashion, elves, enchanting, strengthening, infusion, and advancement will be retained. {n}2. If a character of a certain occupation has been created, when changing to this occupation, the [ff0000] diamonds and dragon coins [-] of the original character will be overwritten. {n}3. The player's current [ff0000] refining attribute [-] effect is retained. {n}4. The player's current forging attribute is changed to the corresponding [ff0000] Forging[-] attribute according to the changed occupation, and the [ff0000] Refinement[-] attribute quality is retained. {n}5. The player's current [ff0000]Dragon Jade[-] is changed to the corresponding attribute Dragon Jade according to the changed occupation. After the change, if there is a dragon jade with the same attribute on the original equipment, the dragon jade with the changed attribute will be put into the backpack. {n}6. The player's current [ff0000] title attribute [-] is changed to the corresponding attribute according to the changed occupation. {n}7. The random attribute of the player's current [ff0000] equipment [-] is changed to the corresponding attribute according to the rules. {n}8. The random attribute of the player's current [ff0000] elf equipment [-] is changed to the corresponding attribute according to the rules. {n}9. The player's current [ff0000] Pokédex bonus [-] is changed to the corresponding attribute bonus of the corresponding occupation. {n}10. The basic attributes of the [ff0000] ordinary coat of arms[-] currently worn by the player remain unchanged, and the appraisal attribute will be changed to the corresponding attribute according to the rules. {n}11. If a profession has been created, when other roles are changed to this profession, the previously created role of the profession will be hidden. When the character is changed to another class again, the original character will be displayed again.
ProfessionChangeExperience	The occupation you are about to experience is [ffdc00]{0}[-]{n} Are you sure you want to enter the level experience?
ProfessionChangeTips	You will be transferred to {0}
ProfessionChangeType1	[c][ff9145] Warrior (physical attack attribute)
ProfessionChangeType2	[c][ff9145] Archer (physical attack attribute)
ProfessionChangeType3	[c][ff9145] Mage (Magic Attack Attribute)
ProfessionChangeType4	[c][ff9145] Priest (Magic Attack Attribute)
ProfessionChangeType5	[c][ff9145] Scholar (Magic Attack Attribute)
ProfessionChangeType6	[c][ff9145]Assassin (physical attack attribute)
ProfessionChangeType7	[c][ff9145] Dancer (Magic Attack Attribute)
ProfessionChangeCoverTips	[c][ffdc00]You already own Lv.{0} {1}, the username is {2}{n}, do you choose to cover this occupation
ERR_MIDAS_FAILED	The network is abnormal, the purchase failed, please try again later
ERR_CHANGEPRO_LEVEL	Insufficient level
ERR_CHANGEPRO_TIME	time cd
ERR_CHANGEPRO_COUNT	number of times
ERR_CHANGEPRO_INVALID	The chosen occupation is illegal
ERR_CHANGEPRO_SAMEPRO	same occupation
ERR_CHANGEPRO_ITEMLIMIT	Lack of tools
ERR_NOMAIL_GETREWARD	No mail to pick up
LeagueFinalSchedule	Quarterfinals 21:00 entry{n}Semi-final entry at 21:20{n}Final entry at 21:40
LeagueNotInFinal	Can't join battle yet
ERR_LEAGUE_ROLE_ALREADY_BATTLE	you have been defeated
ERR_SMELT_MAXVALUE	Refinement has reached the maximum
ERR_CHANGEPRO_KICK	Successfully transferred, please log in again
ERR_LEAGUE_TEAM_ROLE_NUM_INVALID	You need 4 people to create a team
ERR_LEAGUE_NOT_IN_TEAM	Sorry, you are not a member of this team
ERR_LEAGUE_ALREADY_HAS_TEAM	Players with other teams
ERR_LEAGUE_TEAM_NOT_EXIST	team does not exist
ERR_LEAGUE_TEAM_IN_MATCH	The team is matching
ERR_LEAGUE_TEAM_NOT_IN_MATCH	Team not in match
ERR_LEAGUE_ROLE_ALREADY_UP	already in battle
ERR_LEAGUE_ROLE_FIGHTING	in battle
ERR_LEAGUE_NOT_IN_MATCH_TIME	Event match time has not been reached
ERR_LEAGUE_TEAM_NOT_IN_BATTLE	Your clan is not in battle
ERR_LEAGUE_NOT_IN_APPLY_TIME	If you are not in the registration period, you cannot create a team.
ERR_FM_NOINAUDIO	The host is coming, please try again later
ERR_FM_NOINROOM	Please click the radio play button to join the voice room
HANDLE_STATU_CONNECT	handle connection
HANDLE_STATU_CONNECTING	connecting…
HANDLE_STATU_CONNECTED	Disconnect
ERR_LEAGUE_ALREADY_FIGHTED	Your team has already participated in the league and cannot leave
SaveForgeOriAttr
RefreshForgeOriAttr	[ffdc00]{0}[-][ffdc00]Refresh forging attributes[-]
ActivityForgeOriAttr	[ffdc00]{0}[-][ffdc00]Activate forging attribute[-]
ERR_HORSE_INTEAM	Teams cannot enter the waiting scene of dragon boat racing
RefreshForgeOriAttrFull	[cfff0d]{0}[-][cfff0d]Refresh forging attributes[-]
ActivityForgeOriAttrFull	[cfff0d]{0}[-][cfff0d]Activate forge attribute[-]
EnchantTrasform	Currently not wearing enchantable equipment
ENCHANT_REPLACE_CONFIRM	After the enchanting operation, the current enchanting properties will be overwritten. Do you want to continue?
ERR_LEAGUE_INV_NOT_IN_TEAM	This player is not on the same team as you
ERR_LEAGUE_INV_ALREADY_HAS_TEAM	You don't have a clan yet, you can't invite players who have joined a clan
ERR_SPRITE_AWAKE_MAX	This elf has awakened to the strongest aptitude!
ERR_SPRITE_TRAIN_CHOOSEMAX	You can only remove at most 2 attributes
ERR_SPRITE_TRAIN_MAX	The current star training value is full
ERR_SPRITE_TRAIN_LACKITEM	Not enough training tools
ERR_SPRITE_NOTTRAIN	The current star has not been cultivated and cannot be reborn.
ERR_SPRITE_RESETTRAIN_LACKITEM	Insufficient Dragon Coins or Awakening Potion to be reborn
ERR_SPRITE_TRAIN_NOT_ENOUGH	The training value has not reached the upper limit, so you cannot upgrade to stars.
LEAGUE_BUILD_NOTICE	Do you agree to create the team? After the match, you cannot quit before the end of the season.
ERR_GUILDAUCT_PUBLIC_TIME	During the auction period, no bids are available
No_TimesLimit	Unlimited times
ThisAttrCannotSmelt	This attribute cannot be purified
NoReceive	Not picked up
WeekNestTips	Global competition adopts [FF0000]Fair value[-]{n}More emphasis on operation and professional cooperation{n}Global competition content and ranking of this server are updated every Monday{n}Different ranking titles will be obtained according to the clearance time{n}Reward titles will be At 5 o'clock next Monday, we will release {n}the global ranking as an independent ranking.{n} For details, please go to the global ranking page to check! {n}"Global Ranking" is in beta state{n}After the official start of the global competition, the {n} ranking function will be activated simultaneously. Please{n}wait for the announcement for the official opening time.
WeekDragonTips	Competitive Dragon Book adopts [FF0000]Fair value[-]{n}{n}Limited time challenge to difficult Dragon Book Event time:{n}{n}2019.1.25 5:00-2019.2.27 5:00{n}{ n}Acquire different ranking titles according to the customs clearance time{n}{n}Reward titles will be distributed one day after the event ends{n}{n}
SwitchSkillPageSuccess	Switch skill page successfully
SkillPageOpenTips	Level 30 open dual skills page function
SkillPageSwitchTooOften	switching too often
SkillPage0	Switch Skill Page Ⅰ
SkillPage1	Switch Skill Page Ⅱ
ERR_LEAGUE_TEAM_CANNOT_CROSS	Your team is not eligible for cross-server leagues
ERR_BIND_SKILL_NOT_LEARN	Unlearned skills cannot be equipped
ERR_TERRITORY_CANNOT_DISSOLVE	The territorial battle is in progress and cannot be disbanded
NOTICE_TERRITORY_STRING	The territorial battle will open tonight, do you want to check the territorial details?
NOTICE_TERRITORY_STRING_ENSURE	I am very busy
NOTICE_TERRITORY_STRING_GO	go to view
ERR_GCASTLE_FIGHT_END	The battle for the territory is over
MoneyBox	Use 10 Dragon Coins to get 25,000 gold coins, and it is possible to get 5 times the crit at most
ERR_NO_DANCE_ANIM	No action unlocked yet
ERR_APOLLO_CDN	Voice room connection timed out
ERR_CAREER_PVP_NOTOPEN	The system has not yet reached the open level and cannot be viewed
Completed	completed
ERR_CROSS_ZONE_UNUSABLE	Your server does not have permission to play cross-server
ERR_LEAGUE_HAS_MEMBER_NOT_TEAM	There are non-members in the team
CLICK_TOO_FAST	click too fast
ERR_POK_MATCH_ENDSOON	This competition is about to end, you cannot join, please wait for the result of the competition, welcome to participate again
ActivityOpenTime	Open after {0}
LessOneHour	less than 1 hour
ERR_QUESTCAREER_NOT_ONLINE	The other party is offline and cannot be viewed temporarily
ActivityInvite	invite
ActivityInvited	invited
ActivitySend	give away
ActivityDegree	Not enough friends
ERR_MIDAS_BALANCE_NOTENOUTH	Insufficient diamond balance
carnival_befor	exchange
carnival_after	redeemed
ERR_LEAGUE_HAS_NO_TEAM	Sorry, you did not create a team
NotEnoughColor	FF0000
ZongColor	6c3c2b
VtenineDesc
ERR_HAS_JOIN_OTHER_GUILD_BOSS	You have participated in a guild boss, and you cannot challenge again today after you quit the guild
CARD_RESOLVE_TIP	Friendly reminder: The illustrated book can be broken through and collected again after the activation is full.{n}[ff0000]Please disassemble the illustrated book carefully when the number of currently activated combinations is small! [-]
CARD_COMMON_OK	Confirm decomposition
CARD_COMMON_CANCEL	let me think again
ItemComposeTips1	Whether to use [ff0000]{0}[-]{1} to upgrade to [ff0000]{2}[-]{3}{n} (every {4} can be upgraded to 1)
ItemComposeTips2	Insufficient quantity, every {0} can be upgraded to 1
CannotCompose	Level {0} can only be synthesized
RenamePlayerFreeCost	After level {0}, you can change your name once for free
RenamePlayerCost	This name change costs {0} dragon coins
RenamePlayerLevelLow	The level is too low to change the name
RenameInputNullString	Can't enter empty characters
RenameInputDefault	Please enter a name
RenameInputInputName	Please enter correct name
RenamePlayerSizeErr	The name must be no longer than 8 characters
RenamePlayerSureChange	[c][ffff00] Are you sure you want to change the name to [2dc1ff]{0}[-]? [-]
RenamePlayerSureCost	Are you sure to spend {0} dragon coins to change the name
RenameSuccess	Changed the name successfully
RenamePlayerTitle	Modify role name
RenameGuildTitle	Change the guild name
RenameDragonGuildTitle	Change team name
FRIEND_PK	1. Invite online friends to conduct real-time discussions. The game character of the friend is the character logged in by the current friend. {n}2. If your friend is not online, you can click "Discussion" to send a chat message to your friend on QQ or WeChat. When your friends are online, you can receive your invitation to learn from you.
ERR_RESWAR_DIFF_GUILD	There are non-guild members in the team
PartnerDayRule	Comrades in arms can get dragon coins, green agate, comrade coins and other rewards every day, and team up with status bonus!
ERR_WORLDBOSSGUILD_COUNTLIMIT	The maximum number of guild cheers has been reached
ERR_WORLDBOSSGUILD_UNMATCH	Other guild members have been encouraged, and the price has changed.
HeroBattleExperienceTime	Experience time: {0}
HeroBattleExperienceQues	Are you using the {0} {1} coupon?
ERR_HERO_EXPERIENCE_HAVE	The experience coupon has already been used for this hero, please wait for the experience period to use it again
ERR_ARGENTA_DAILY_GET	You have already received this reward
HeroBattleUseTicketSuccess	You have successfully activated {0} {1}
HeroBattleSameHeroTips	A teammate has already selected the hero
ArgentaLeftTime	the remaining time:
ERR_HERO_ALREADY_CHOSEN	The teammate has already selected this hero, please change it~ (The same team cannot use the same hero as the teammate in the hero battlefield)
LeaveTeamSinceNoConfig	Unable to find the configuration of the corresponding copy, please try restarting the game to download the latest patch
ERR_LOCKED_ROLE	Account temporarily locked
PLAT_FRIEND_PK_TITLE	Learn from friends, real-time battle
PLAT_FRIEND_PK_SUMMARY	Crossing the regional server barriers, friends invite you to compete in real time~
PLAT_FRIEND_INVITE_TITLE	Team up with friends to challenge impossible battles
PLAT_FRIEND_INVITE_SUMMARY	Cross the regional server barriers and team up with friends in real time to dominate one side
PLAT_FRIEND_INVITE_SUMMARY_2	{0} The group is open, the car is full of people, just waiting for you to pull it~!
PLAT_FRIEND_PK_TARGET_URLQQ	Platform friends ranking pk jump link (QQ)
PLAT_FRIEND_PK_IMAGE_URLQQ	Platform friends ranking pk picture link (QQ)
PLAT_FRIEND_PK_PREVIEW_URLQQ	Platform friends ranking pk preview content (QQ)
PLAT_FRIEND_PK_ONLINE	Discussion request has been sent
PLAT_FRIEND_PK_NOT_ONLINE	The other party is not online, the discussion request has been shared to {0}
QQ	QQ
WECHAT	WeChat
ERR_ARENA_ERROR	Existing title cannot be acquired again!
ERR_GARDEN_TOLOADING	Due to server data communication, your home data is being loaded, please try again later
PresentSucc	The gift is successful, tell him the good news quickly
PresentOK	tell him
PresentCancel	No
PresentCertain	OK
PresentShare	{0} has given you a mysterious gift, go check it out
PresentTitle	You are giving away to {0}
PresentMode	Unable to tell, please try again later
PresentDegree	You can only gift when your friend degree reaches {0}.
PresentDefault	Click here to leave a message
MilitaryLevelMax	Reached the highest rank
HallFame_Rank	Ladder match
HallFame_Heros	hero battlefield
HallFame_Dragon	Global Athletics
HallFame_TeamLeague	Holy League
OperateSuccess	Successful operation
Fame_Hall_AST_PK_1	score
Fame_Hall_AST_PK_2	total number of sessions
Fame_Hall_AST_PK_3	win rate
Fame_Hall_AST_PK_4	highest streak
Fame_Hall_AST_HEROBATTLE_1	total number of sessions
Fame_Hall_AST_HEROBATTLE_2	highest streak
Fame_Hall_AST_HEROBATTLE_3	win rate
Fame_Hall_AST_HEROBATTLE_4	Max kills
Fame_Hall_AST_LEAGUE_1	integral
Fame_Hall_AST_LEAGUE_2	total number of sessions
Fame_Hall_AST_LEAGUE_3	win rate
Fame_Hall_AST_LEAGUE_4	highest streak
Fame_Hall_AST_WEEKNEST_1	Clearance time
Fame_Hall_AST_WEEKNEST_2
Fame_Hall_AST_WEEKNEST_3
Fame_Hall_AST_WEEKNEST_4
AST_PK_Hall_Fame	1:1 Ladder Match
AST_HEROBATTLE_Hall_Fame	hero battlefield
AST_WEEKNEST_Hall_Fame	Global Athletics
AST_LEAGUE_Hall_Fame	Cross-Server Peak Showdown
SeasonFame	season celebrity
SeasonTime	season time
TotalTopOne	Cumulative number of championships
TotalTopTen	Accumulated top ten times
ExchangeTips_0	Please select a card to exchange
ExchangeTips_1	Press OK to exchange
ExchangeTips_2	The opponent changed the card, please confirm again
ExchangeTips_3	[ffdc00]Waiting for confirmation[-]
ExchangeMyEnsureTips_0	Confirm exchange
ExchangeMyEnsureTips_1	Cancel
ExchangeOtherEnsureTips_0	[ffdc00]The opponent is choosing a card[-]
ExchangeOtherEnsureTips_1	[cfff0d]Confirmed[-]
ExchangeTitle	{0} exchange
ERR_GUILDACMPPATY_NOTOPEN	Not yet in the event time
ERR_GUILDPARTY_TRADIING	The other party is trading with others
ExchangeType_33	exchange
ExchangeType_7	card
ARTIFACT_ANSAB	Kamiishi
ARTIFACT_GRAIL	Holy Grail
ARTIFACT_BATTLEHEART	Longjing
ARTIFACT_DRAGONHORN	Dragon Horn
ArytifactSkillEffect	dragon effect
